Sexo	Grupos y subgrupos principales de la CNO-11	Media y percentiles	Periodo	Total
Ambos sexos	58 Trabajadores de los servicios personales	Percentil 75	2018	22.709,19
Ambos sexos	58 Trabajadores de los servicios personales	Percentil 90	2018	31.207,27
Ambos sexos	I Trabajadores de los servicios de protección y seguridad	Media	2018	28.467,92
Ambos sexos	I Trabajadores de los servicios de protección y seguridad	Percentil 10	2018	12.388,2
Ambos sexos	I Trabajadores de los servicios de protección y seguridad	Percentil 25	2018	18.809,36
Ambos sexos	I Trabajadores de los servicios de protección y seguridad	Percentil 50	2018	26.539,29
Ambos sexos	I Trabajadores de los servicios de protección y seguridad	Percentil 75	2018	38.919,88
Ambos sexos	I Trabajadores de los servicios de protección y seguridad	Percentil 90	2018	44.621,34
Ambos sexos	59 Trabajadores de los servicios de protección y seguridad	Media	2018	28.467,92
Ambos sexos	59 Trabajadores de los servicios de protección y seguridad	Percentil 10	2018	12.388,2
Ambos sexos	59 Trabajadores de los servicios de protección y seguridad	Percentil 25	2018	18.809,36
Ambos sexos	59 Trabajadores de los servicios de protección y seguridad	Percentil 50	2018	26.539,29
Ambos sexos	59 Trabajadores de los servicios de protección y seguridad	Percentil 75	2018	38.919,88
Ambos sexos	59 Trabajadores de los servicios de protección y seguridad	Percentil 90	2018	44.621,34
Ambos sexos	J Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Media	2018	19.690,87
Ambos sexos	J Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Percentil 10	2018	9.729,76
Ambos sexos	J Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Percentil 25	2018	14.117,72
